Market,Date,Total Spend
AE,2024-06-06,78.46
GB,2024-06-06,3837.03
US,2024-06-06,14472.7
,2024-06-06,0.1
AG,2024-06-07,1.38
AW,2024-06-07,0.64
AU,2024-06-07,1488.59
AT,2024-06-07,1055.69
BS,2024-06-07,5.08
BB,2024-06-07,1.8
BE,2024-06-07,1636.43
,2024-06-07,0.74
CA,2024-06-07,2118.36
KY,2024-06-07,3.07
HR,2024-06-07,18.0
CZ,2024-06-07,277.66
DK,2024-06-07,1998.06
EE,2024-06-07,6.57
FI,2024-06-07,609.65
FR,2024-06-07,3062.54
DE,2024-06-07,5239.78
GR,2024-06-07,441.8
HK,2024-06-07,282.74
IS,2024-06-07,63.96
IE,2024-06-07,410.88
IT,2024-06-07,1952.85
JP,2024-06-07,191.04
KR,2024-06-07,172.72
LV,2024-06-07,10.48
LT,2024-06-07,24.89
LU,2024-06-07,63.11
MY,2024-06-07,16.94
MV,2024-06-07,2.86
NL,2024-06-07,2605.38
NZ,2024-06-07,36.96
NO,2024-06-07,488.08
PL,2024-06-07,52.95
PT,2024-06-07,495.6
LC,2024-06-07,0.32
,2024-06-07,0.64
SG,2024-06-07,227.68
ES,2024-06-07,2524.16
SE,2024-06-07,12027.89
CH,2024-06-07,961.65
TW,2024-06-07,327.12
,2024-06-07,0.64
AE,2024-06-07,794.76
GB,2024-06-07,10784.13
US,2024-06-07,18617.86
,2024-06-07,0.0
AG,2024-06-08,1.27
AW,2024-06-08,0.85
AU,2024-06-08,1747.62
AT,2024-06-08,695.74
BS,2024-06-08,6.46
BB,2024-06-08,3.07
BE,2024-06-08,1044.57
,2024-06-08,0.95
CA,2024-06-08,1264.62
KY,2024-06-08,6.99
HR,2024-06-08,23.4
CZ,2024-06-08,169.44
DK,2024-06-08,967.37
EE,2024-06-08,41.51
FI,2024-06-08,420.2
FR,2024-06-08,2050.59
DE,2024-06-08,3832.73
GR,2024-06-08,389.07
HK,2024-06-08,503.54
IS,2024-06-08,38.44
IE,2024-06-08,260.82
IT,2024-06-08,1263.77
JP,2024-06-08,304.03
KR,2024-06-08,465.95
LV,2024-06-08,44.58
LT,2024-06-08,110.77
LU,2024-06-08,52.74
MY,2024-06-08,235.62
MV,2024-06-08,3.39
NL,2024-06-08,1715.53
NZ,2024-06-08,78.89
NO,2024-06-08,366.3
PL,2024-06-08,163.82
PT,2024-06-08,384.94
LC,2024-06-08,0.85
,2024-06-08,0.74
SG,2024-06-08,444.56
ES,2024-06-08,1392.55
SE,2024-06-08,11327.7
CH,2024-06-08,676.36
TW,2024-06-08,308.8
,2024-06-08,1.69
AE,2024-06-08,653.6
GB,2024-06-08,8011.11
US,2024-06-08,26601.54
,2024-06-08,0.21
AG,2024-06-09,1.16
AW,2024-06-09,0.84
AU,2024-06-09,756.58
AT,2024-06-09,486.5
BS,2024-06-09,5.91
BB,2024-06-09,3.38
BE,2024-06-09,606.8
,2024-06-09,2.43
CA,2024-06-09,699.54
KY,2024-06-09,5.28
HR,2024-06-09,21.55
CZ,2024-06-09,124.95
DK,2024-06-09,657.71
EE,2024-06-09,37.39
FI,2024-06-09,319.51
FR,2024-06-09,1571.14
DE,2024-06-09,2882.03
GR,2024-06-09,254.87
HK,2024-06-09,347.18
IS,2024-06-09,34.75
IE,2024-06-09,205.23
IT,2024-06-09,813.51
JP,2024-06-09,229.73
KR,2024-06-09,317.61
LV,2024-06-09,39.5
LT,2024-06-09,98.97
LU,2024-06-09,18.7
MY,2024-06-09,438.02
MV,2024-06-09,4.75
NL,2024-06-09,1099.11
NZ,2024-06-09,50.91
NO,2024-06-09,390.7
PL,2024-06-09,123.37
PT,2024-06-09,193.29
LC,2024-06-09,1.27
,2024-06-09,0.74
SG,2024-06-09,278.63
ES,2024-06-09,988.1
SE,2024-06-09,13347.37
CH,2024-06-09,553.57
TW,2024-06-09,187.06
,2024-06-09,1.48
AE,2024-06-09,445.31
GB,2024-06-09,5269.85
US,2024-06-09,22011.62
US,2024-06-03,0.0
US,2024-06-04,567.34
US,2024-06-05,565.04
,2024-06-06,0.0
US,2024-06-06,565.95
US,2024-06-07,572.59
US,2024-06-08,572.59
DE,2024-06-09,14.36
GB,2024-06-09,28.41
US,2024-06-09,1071.33
US,2024-06-11,93.11
AT,2024-06-12,0.21
BE,2024-06-12,4.15
HR,2024-06-12,0.21
CZ,2024-06-12,0.31
DK,2024-06-12,1.76
FI,2024-06-12,3.63
FR,2024-06-12,13.39
DE,2024-06-12,1.45
GR,2024-06-12,0.52
IT,2024-06-12,1.35
NL,2024-06-12,0.73
NO,2024-06-12,0.31
PT,2024-06-12,0.73
ES,2024-06-12,0.1
CH,2024-06-12,0.0
US,2024-06-12,55.96
AT,2024-06-13,0.1
BE,2024-06-13,2.73
HR,2024-06-13,0.1
CZ,2024-06-13,24.63
DK,2024-06-13,6.81
FI,2024-06-13,0.52
FR,2024-06-13,9.64
DE,2024-06-13,22.01
GR,2024-06-13,0.84
IT,2024-06-13,5.14
LV,2024-06-13,0.52
LT,2024-06-13,1.47
LU,2024-06-13,0.31
MT,2024-06-13,0.1
NL,2024-06-13,9.75
NO,2024-06-13,0.1
PT,2024-06-13,0.0
SK,2024-06-13,0.31
ES,2024-06-13,0.63
CH,2024-06-13,1.05
US,2024-06-13,23.27
AT,2024-06-14,0.0
BE,2024-06-14,1.7
HR,2024-06-14,0.0
CZ,2024-06-14,0.32
DK,2024-06-14,7.87
FI,2024-06-14,0.21
FR,2024-06-14,11.06
DE,2024-06-14,10.31
GR,2024-06-14,0.53
IT,2024-06-14,0.74
LV,2024-06-14,0.0
LU,2024-06-14,0.21
MT,2024-06-14,0.0
NL,2024-06-14,0.64
NO,2024-06-14,2.23
PT,2024-06-14,0.96
SI,2024-06-14,0.0
ES,2024-06-14,4.25
CH,2024-06-14,0.74
US,2024-06-14,155.86
AT,2024-06-15,1.06
BE,2024-06-15,1.38
HR,2024-06-15,0.64
CZ,2024-06-15,0.53
DK,2024-06-15,5.21
FI,2024-06-15,3.3
FR,2024-06-15,4.47
DE,2024-06-15,4.68
GR,2024-06-15,1.06
IT,2024-06-15,2.34
LT,2024-06-15,0.0
MT,2024-06-15,0.0
NL,2024-06-15,13.4
NO,2024-06-15,2.34
PT,2024-06-15,4.36
SK,2024-06-15,0.0
ES,2024-06-15,1.06
CH,2024-06-15,1.38
US,2024-06-15,135.56
AT,2024-06-16,1.68
BE,2024-06-16,1.68
HR,2024-06-16,0.74
CZ,2024-06-16,1.16
DK,2024-06-16,4.84
FI,2024-06-16,10.0
FR,2024-06-16,10.31
DE,2024-06-16,5.05
GR,2024-06-16,0.21
IT,2024-06-16,1.05
LU,2024-06-16,0.42
NL,2024-06-16,2.84
NO,2024-06-16,5.47
PT,2024-06-16,0.21
SK,2024-06-16,0.0
SI,2024-06-16,0.0
ES,2024-06-16,0.95
CH,2024-06-16,1.47
US,2024-06-16,29.68
AG,2024-06-10,1.89
AW,2024-06-10,2.2
AU,2024-06-10,965.86
AT,2024-06-10,520.24
BS,2024-06-10,5.34
BB,2024-06-10,2.83
BE,2024-06-10,757.19
,2024-06-10,1.36
CA,2024-06-10,908.95
KY,2024-06-10,6.92
HR,2024-06-10,37.52
CZ,2024-06-10,204.36
DK,2024-06-10,694.52
EE,2024-06-10,103.33
FI,2024-06-10,504.94
FR,2024-06-10,1513.34
DE,2024-06-10,2629.38
GR,2024-06-10,443.21
HK,2024-06-10,900.25
IS,2024-06-10,76.82
IE,2024-06-10,279.3
IT,2024-06-10,855.5
JP,2024-06-10,425.08
KR,2024-06-10,516.67
LV,2024-06-10,82.27
LT,2024-06-10,263.37
LU,2024-06-10,14.15
MY,2024-06-10,519.61
MV,2024-06-10,3.98
NL,2024-06-10,1369.03
NZ,2024-06-10,120.84
NO,2024-06-10,558.7
PL,2024-06-10,681.84
PT,2024-06-10,265.25
LC,2024-06-10,1.15
,2024-06-10,1.05
SG,2024-06-10,626.61
ES,2024-06-10,1072.33
SE,2024-06-10,18194.99
CH,2024-06-10,543.71
TW,2024-06-10,570.12
,2024-06-10,1.47
AE,2024-06-10,391.02
GB,2024-06-10,5038.78
US,2024-06-10,21605.46
,2024-06-10,0.42
AG,2024-06-11,2.31
AW,2024-06-11,29.57
AU,2024-06-11,1206.9
AT,2024-06-11,1283.55
BS,2024-06-11,7.13
BB,2024-06-11,4.3
BE,2024-06-11,1948.45
,2024-06-11,1.47
CA,2024-06-11,1141.36
KY,2024-06-11,5.56
HR,2024-06-11,58.51
CZ,2024-06-11,534.56
DK,2024-06-11,1264.26
EE,2024-06-11,110.1
FI,2024-06-11,979.15
FR,2024-06-11,3503.68
DE,2024-06-11,6372.35
GR,2024-06-11,1361.98
HK,2024-06-11,520.19
IS,2024-06-11,125.09
IE,2024-06-11,646.34
IT,2024-06-11,2348.47
JP,2024-06-11,313.42
KR,2024-06-11,374.34
LV,2024-06-11,106.32
LT,2024-06-11,292.45
LU,2024-06-11,91.23
MY,2024-06-11,468.81
MV,2024-06-11,13.53
NL,2024-06-11,2850.21
NZ,2024-06-11,105.59
NO,2024-06-11,702.43
PL,2024-06-11,1763.16
PT,2024-06-11,702.75
LC,2024-06-11,1.99
,2024-06-11,2.31
SG,2024-06-11,342.46
ES,2024-06-11,2508.27
SE,2024-06-11,19502.7
CH,2024-06-11,1199.56
TW,2024-06-11,283.95
,2024-06-11,2.52
AE,2024-06-11,541.58
GB,2024-06-11,8491.6
US,2024-06-11,17495.64
,2024-06-11,0.0
AG,2024-06-12,3.43
AW,2024-06-12,5.71
AU,2024-06-12,1707.86
AT,2024-06-12,1044.44
BS,2024-06-12,6.44
BB,2024-06-12,9.14
BE,2024-06-12,1606.01
,2024-06-12,1.87
CA,2024-06-12,1336.28
KY,2024-06-12,6.02
HR,2024-06-12,68.52
CZ,2024-06-12,511.42
DK,2024-06-12,848.84
EE,2024-06-12,79.42
FI,2024-06-12,722.49
FR,2024-06-12,2757.8
DE,2024-06-12,4560.96
GR,2024-06-12,1158.54
HK,2024-06-12,313.95
IS,2024-06-12,68.31
IE,2024-06-12,365.24
IT,2024-06-12,1902.83
JP,2024-06-12,248.03
KR,2024-06-12,250.21
LV,2024-06-12,57.83
LT,2024-06-12,217.4
LU,2024-06-12,81.71
MY,2024-06-12,628.32
MV,2024-06-12,16.82
NL,2024-06-12,2179.1
NZ,2024-06-12,60.01
NO,2024-06-12,320.18
PL,2024-06-12,1891.31
PT,2024-06-12,495.54
LC,2024-06-12,2.18
,2024-06-12,2.49
SG,2024-06-12,250.73
ES,2024-06-12,2002.29
SE,2024-06-12,8836.62
CH,2024-06-12,679.82
TW,2024-06-12,286.03
,2024-06-12,3.53
AE,2024-06-12,434.39
GB,2024-06-12,7724.28
US,2024-06-12,27664.97
,2024-06-12,0.1
AG,2024-06-13,0.42
AW,2024-06-13,1.47
AU,2024-06-13,453.79
AT,2024-06-13,690.38
BS,2024-06-13,2.1
BB,2024-06-13,0.52
BE,2024-06-13,1124.99
,2024-06-13,0.1
CA,2024-06-13,384.08
KY,2024-06-13,1.89
HR,2024-06-13,16.46
CZ,2024-06-13,299.91
DK,2024-06-13,349.18
EE,2024-06-13,21.17
FI,2024-06-13,531.36
FR,2024-06-13,1827.54
DE,2024-06-13,3058.4
GR,2024-06-13,626.96
HK,2024-06-13,151.89
IS,2024-06-13,15.62
IE,2024-06-13,259.65
IT,2024-06-13,1145.54
JP,2024-06-13,100.95
KR,2024-06-13,138.48
LV,2024-06-13,19.39
LT,2024-06-13,56.19
LU,2024-06-13,58.28
MY,2024-06-13,53.67
MV,2024-06-13,2.94
NL,2024-06-13,1501.21
NZ,2024-06-13,29.67
NO,2024-06-13,150.11
PL,2024-06-13,91.2
PT,2024-06-13,372.87
LC,2024-06-13,0.31
,2024-06-13,0.94
SG,2024-06-13,115.73
ES,2024-06-13,1114.09
SE,2024-06-13,4165.89
CH,2024-06-13,259.44
TW,2024-06-13,73.48
,2024-06-13,1.15
AE,2024-06-13,156.3
GB,2024-06-13,5222.01
US,2024-06-13,21872.89
,2024-06-13,0.1
AG,2024-06-14,0.53
AW,2024-06-14,0.96
AU,2024-06-14,501.29
AT,2024-06-14,727.11
BS,2024-06-14,1.06
BB,2024-06-14,0.96
BE,2024-06-14,1264.76
,2024-06-14,0.32
CA,2024-06-14,474.07
KY,2024-06-14,2.23
HR,2024-06-14,14.88
CZ,2024-06-14,315.02
DK,2024-06-14,308.96
EE,2024-06-14,20.31
FI,2024-06-14,512.46
FR,2024-06-14,1976.35
DE,2024-06-14,3540.19
GR,2024-06-14,594.11
HK,2024-06-14,138.43
IS,2024-06-14,17.97
IE,2024-06-14,298.97
IT,2024-06-14,1235.31
JP,2024-06-14,113.76
KR,2024-06-14,158.73
LV,2024-06-14,14.67
LT,2024-06-14,46.67
LU,2024-06-14,69.43
MY,2024-06-14,52.2
MV,2024-06-14,3.51
NL,2024-06-14,1678.34
NZ,2024-06-14,32.0
NO,2024-06-14,149.38
PL,2024-06-14,154.59
PT,2024-06-14,318.85
LC,2024-06-14,0.53
,2024-06-14,1.91
SG,2024-06-14,91.22
ES,2024-06-14,1178.75
SE,2024-06-14,4050.95
CH,2024-06-14,311.41
TW,2024-06-14,74.95
,2024-06-14,1.17
AE,2024-06-14,158.2
GB,2024-06-14,5800.74
US,2024-06-14,22765.87
AG,2024-06-15,0.21
AW,2024-06-15,0.43
AU,2024-06-15,612.82
AT,2024-06-15,783.67
BS,2024-06-15,0.85
BB,2024-06-15,1.38
BE,2024-06-15,1223.73
,2024-06-15,0.21
CA,2024-06-15,425.91
KY,2024-06-15,1.28
HR,2024-06-15,15.42
CZ,2024-06-15,295.35
DK,2024-06-15,339.9
EE,2024-06-15,12.86
FI,2024-06-15,543.82
FR,2024-06-15,2045.89
DE,2024-06-15,3872.55
GR,2024-06-15,565.72
HK,2024-06-15,140.13
IS,2024-06-15,8.93
IE,2024-06-15,266.12
IT,2024-06-15,1387.88
JP,2024-06-15,145.44
KR,2024-06-15,117.69
LV,2024-06-15,15.42
LT,2024-06-15,44.33
LU,2024-06-15,82.72
MY,2024-06-15,60.92
MV,2024-06-15,1.59
NL,2024-06-15,1715.13
NZ,2024-06-15,27.64
NO,2024-06-15,176.7
PL,2024-06-15,77.51
PT,2024-06-15,285.68
LC,2024-06-15,0.74
,2024-06-15,0.96
SG,2024-06-15,113.34
ES,2024-06-15,1111.77
SE,2024-06-15,4084.01
CH,2024-06-15,270.79
TW,2024-06-15,70.28
,2024-06-15,0.53
AE,2024-06-15,147.46
GB,2024-06-15,5928.0
US,2024-06-15,21962.96
AG,2024-06-16,0.53
AW,2024-06-16,0.63
AU,2024-06-16,647.6
AT,2024-06-16,792.3
BS,2024-06-16,2.1
BB,2024-06-16,1.37
BE,2024-06-16,1225.85
,2024-06-16,0.32
CA,2024-06-16,411.56
KY,2024-06-16,2.1
HR,2024-06-16,12.52
CZ,2024-06-16,314.75
DK,2024-06-16,303.49
EE,2024-06-16,13.89
FI,2024-06-16,685.17
FR,2024-06-16,2224.93
DE,2024-06-16,4062.29
GR,2024-06-16,544.37
HK,2024-06-16,139.12
IS,2024-06-16,10.63
IE,2024-06-16,292.13
IT,2024-06-16,1185.55
JP,2024-06-16,112.49
KR,2024-06-16,144.27
LV,2024-06-16,13.36
LT,2024-06-16,44.51
LU,2024-06-16,77.66
MY,2024-06-16,66.93
MV,2024-06-16,2.74
NL,2024-06-16,1669.72
NZ,2024-06-16,24.1
NO,2024-06-16,201.31
PL,2024-06-16,184.05
PT,2024-06-16,373.58
LC,2024-06-16,0.11
,2024-06-16,0.74
SG,2024-06-16,94.5
ES,2024-06-16,1210.38
SE,2024-06-16,4810.91
CH,2024-06-16,281.6
TW,2024-06-16,84.5
,2024-06-16,0.21
AE,2024-06-16,125.12
GB,2024-06-16,6095.91
US,2024-06-16,21387.24
,2024-06-16,0.0
DE,2024-06-10,1.36
GB,2024-06-10,6.5
US,2024-06-10,1120.02
DE,2024-06-11,17.3
GB,2024-06-11,49.39
US,2024-06-11,1052.87
DE,2024-06-12,102.26
GB,2024-06-12,312.4
US,2024-06-12,707.96
DE,2024-06-13,45.81
GB,2024-06-13,125.27
US,2024-06-13,954.23
DE,2024-06-14,15.84
GB,2024-06-14,48.69
US,2024-06-14,1075.2
DE,2024-06-15,10.63
SE,2024-06-15,0.0
GB,2024-06-15,58.05
US,2024-06-15,1071.16
DE,2024-06-16,8.0
GB,2024-06-16,34.41
US,2024-06-16,1085.68
BE,2024-06-17,0.73
HR,2024-06-17,0.31
CZ,2024-06-17,0.1
DK,2024-06-17,2.09
FI,2024-06-17,0.63
FR,2024-06-17,5.76
DE,2024-06-17,7.85
GR,2024-06-17,2.41
IT,2024-06-17,2.09
LV,2024-06-17,0.1
LT,2024-06-17,0.1
NL,2024-06-17,1.68
NO,2024-06-17,4.4
PT,2024-06-17,0.31
SK,2024-06-17,0.21
SI,2024-06-17,1.05
ES,2024-06-17,0.63
CH,2024-06-17,4.19
US,2024-06-17,58.85
AT,2024-06-18,1.98
BE,2024-06-18,0.21
HR,2024-06-18,1.15
CZ,2024-06-18,0.21
DK,2024-06-18,1.67
FI,2024-06-18,0.0
FR,2024-06-18,19.42
DE,2024-06-18,4.8
GR,2024-06-18,1.25
IT,2024-06-18,2.19
LT,2024-06-18,0.1
LU,2024-06-18,0.0
NL,2024-06-18,2.71
NO,2024-06-18,1.15
PT,2024-06-18,3.34
SK,2024-06-18,0.0
SI,2024-06-18,0.0
ES,2024-06-18,1.36
CH,2024-06-18,2.19
US,2024-06-18,93.95
AT,2024-06-19,0.1
BE,2024-06-19,1.57
HR,2024-06-19,1.25
CZ,2024-06-19,1.04
DK,2024-06-19,3.45
FI,2024-06-19,3.97
FR,2024-06-19,9.61
DE,2024-06-19,6.27
GR,2024-06-19,1.36
IT,2024-06-19,3.34
LV,2024-06-19,0.31
LU,2024-06-19,0.84
NL,2024-06-19,4.91
NO,2024-06-19,3.86
PT,2024-06-19,0.0
SK,2024-06-19,0.0
SI,2024-06-19,0.0
ES,2024-06-19,4.07
CH,2024-06-19,1.98
US,2024-06-19,32.9
AT,2024-06-20,0.21
BE,2024-06-20,3.88
HR,2024-06-20,0.0
CZ,2024-06-20,0.0
DK,2024-06-20,5.35
FI,2024-06-20,4.3
FR,2024-06-20,8.08
DE,2024-06-20,24.04
GR,2024-06-20,0.21
IT,2024-06-20,3.36
LT,2024-06-20,0.0
LU,2024-06-20,1.68
NL,2024-06-20,1.89
NO,2024-06-20,6.09
PT,2024-06-20,0.0
SI,2024-06-20,1.05
ES,2024-06-20,5.88
CH,2024-06-20,1.99
US,2024-06-20,104.44
AT,2024-06-21,0.84
BE,2024-06-21,9.88
CZ,2024-06-21,3.68
DK,2024-06-21,18.07
FI,2024-06-21,2.1
FR,2024-06-21,22.91
DE,2024-06-21,20.17
GR,2024-06-21,2.0
IT,2024-06-21,9.88
LT,2024-06-21,0.11
NL,2024-06-21,3.15
NO,2024-06-21,3.68
PT,2024-06-21,1.58
SK,2024-06-21,0.0
SI,2024-06-21,0.0
ES,2024-06-21,0.84
CH,2024-06-21,1.89
US,2024-06-21,225.28
AT,2024-06-22,3.57
BE,2024-06-22,0.11
CZ,2024-06-22,0.0
DK,2024-06-22,22.59
FI,2024-06-22,13.03
FR,2024-06-22,36.99
DE,2024-06-22,104.76
GR,2024-06-22,1.47
IT,2024-06-22,9.04
LT,2024-06-22,0.11
LU,2024-06-22,0.0
NL,2024-06-22,9.35
NO,2024-06-22,17.44
PT,2024-06-22,0.11
SK,2024-06-22,0.0
ES,2024-06-22,7.99
CH,2024-06-22,17.76
US,2024-06-22,141.96
AT,2024-06-23,0.0
BE,2024-06-23,13.35
HR,2024-06-23,3.68
CZ,2024-06-23,0.0
DK,2024-06-23,36.28
FI,2024-06-23,11.99
FR,2024-06-23,69.72
DE,2024-06-23,92.96
GR,2024-06-23,11.36
IT,2024-06-23,17.46
LV,2024-06-23,0.42
LU,2024-06-23,0.11
NL,2024-06-23,12.2
NO,2024-06-23,25.03
PT,2024-06-23,0.11
SI,2024-06-23,0.0
ES,2024-06-23,13.57
CH,2024-06-23,5.89
US,2024-06-23,211.99
AG,2024-06-17,0.63
AW,2024-06-17,1.36
AU,2024-06-17,656.49
AT,2024-06-17,756.5
BS,2024-06-17,1.88
BB,2024-06-17,1.36
BE,2024-06-17,1130.45
,2024-06-17,0.52
CA,2024-06-17,441.81
KY,2024-06-17,3.35
HR,2024-06-17,21.68
CZ,2024-06-17,352.17
DK,2024-06-17,281.17
EE,2024-06-17,14.77
FI,2024-06-17,737.23
FR,2024-06-17,2420.61
DE,2024-06-17,3695.99
GR,2024-06-17,618.58
HK,2024-06-17,116.24
IS,2024-06-17,15.18
IE,2024-06-17,368.93
IT,2024-06-17,1348.06
JP,2024-06-17,72.15
KR,2024-06-17,87.55
LV,2024-06-17,16.44
LT,2024-06-17,51.84
LU,2024-06-17,52.46
MY,2024-06-17,136.03
MV,2024-06-17,2.93
NL,2024-06-17,1591.43
NZ,2024-06-17,16.55
NO,2024-06-17,160.64
PL,2024-06-17,561.72
PT,2024-06-17,450.3
LC,2024-06-17,0.42
,2024-06-17,0.31
SG,2024-06-17,93.93
ES,2024-06-17,1177.06
SE,2024-06-17,3803.23
CH,2024-06-17,245.25
TW,2024-06-17,65.03
,2024-06-17,0.63
AE,2024-06-17,153.94
GB,2024-06-17,6005.81
US,2024-06-17,25619.27
AG,2024-06-18,0.42
AW,2024-06-18,0.94
AU,2024-06-18,388.86
AT,2024-06-18,648.38
BS,2024-06-18,2.4
BB,2024-06-18,2.4
BE,2024-06-18,1097.27
,2024-06-18,0.84
CA,2024-06-18,406.82
KY,2024-06-18,4.38
HR,2024-06-18,16.08
CZ,2024-06-18,301.17
DK,2024-06-18,259.63
EE,2024-06-18,7.41
FI,2024-06-18,631.89
FR,2024-06-18,1818.42
DE,2024-06-18,3272.82
GR,2024-06-18,692.54
HK,2024-06-18,109.3
IS,2024-06-18,17.12
IE,2024-06-18,266.31
IT,2024-06-18,1456.6
JP,2024-06-18,95.73
KR,2024-06-18,97.19
LV,2024-06-18,12.01
LT,2024-06-18,34.87
LU,2024-06-18,52.3
MY,2024-06-18,70.78
MV,2024-06-18,1.98
NL,2024-06-18,1564.85
NZ,2024-06-18,16.49
NO,2024-06-18,132.68
PL,2024-06-18,158.05
PT,2024-06-18,297.21
LC,2024-06-18,0.52
,2024-06-18,0.94
SG,2024-06-18,71.09
ES,2024-06-18,1085.58
SE,2024-06-18,3160.29
CH,2024-06-18,196.99
TW,2024-06-18,69.11
,2024-06-18,0.52
AE,2024-06-18,149.18
GB,2024-06-18,4368.85
US,2024-06-18,24214.58
,2024-06-18,0.0
AG,2024-06-19,0.21
AW,2024-06-19,0.94
AU,2024-06-19,361.22
AT,2024-06-19,672.31
BS,2024-06-19,3.55
BB,2024-06-19,1.15
BE,2024-06-19,1091.07
,2024-06-19,0.52
CA,2024-06-19,351.19
KY,2024-06-19,1.88
HR,2024-06-19,19.21
CZ,2024-06-19,325.4
DK,2024-06-19,203.22
EE,2024-06-19,5.85
FI,2024-06-19,683.59
FR,2024-06-19,1690.5
DE,2024-06-19,3043.37
GR,2024-06-19,626.26
HK,2024-06-19,84.17
IS,2024-06-19,20.15
IE,2024-06-19,237.16
IT,2024-06-19,1491.04
JP,2024-06-19,85.21
KR,2024-06-19,87.2
LV,2024-06-19,10.34
LT,2024-06-19,34.98
LU,2024-06-19,47.93
MY,2024-06-19,73.0
MV,2024-06-19,1.67
NL,2024-06-19,1455.64
NZ,2024-06-19,15.35
NO,2024-06-19,90.44
PL,2024-06-19,240.92
PT,2024-06-19,303.58
LC,2024-06-19,0.31
,2024-06-19,0.42
SG,2024-06-19,52.74
ES,2024-06-19,1044.39
SE,2024-06-19,2523.11
CH,2024-06-19,140.87
TW,2024-06-19,75.61
,2024-06-19,1.04
AE,2024-06-19,123.96
GB,2024-06-19,5176.34
US,2024-06-19,29761.33
AG,2024-06-20,0.1
AW,2024-06-20,0.52
AU,2024-06-20,277.53
AT,2024-06-20,371.16
BS,2024-06-20,7.45
BB,2024-06-20,0.84
BE,2024-06-20,531.45
,2024-06-20,1.36
CA,2024-06-20,239.32
KY,2024-06-20,2.1
HR,2024-06-20,12.49
CZ,2024-06-20,171.94
DK,2024-06-20,129.84
EE,2024-06-20,3.67
FI,2024-06-20,255.8
FR,2024-06-20,859.68
DE,2024-06-20,1472.26
GR,2024-06-20,256.85
HK,2024-06-20,55.21
IS,2024-06-20,4.51
IE,2024-06-20,122.5
IT,2024-06-20,651.53
JP,2024-06-20,31.49
KR,2024-06-20,46.71
LV,2024-06-20,2.41
LT,2024-06-20,12.6
LU,2024-06-20,26.35
MV,2024-06-20,1.15
NL,2024-06-20,706.21
NZ,2024-06-20,9.34
NO,2024-06-20,59.83
PL,2024-06-20,7.66
PT,2024-06-20,168.05
LC,2024-06-20,0.1
,2024-06-20,0.21
SG,2024-06-20,28.66
ES,2024-06-20,566.71
SE,2024-06-20,1801.23
CH,2024-06-20,110.21
TW,2024-06-20,23.51
,2024-06-20,0.52
AE,2024-06-20,89.64
GB,2024-06-20,4957.04
US,2024-06-20,23683.28
AG,2024-06-21,0.74
AW,2024-06-21,0.74
AU,2024-06-21,185.56
AT,2024-06-21,349.16
BS,2024-06-21,2.21
BB,2024-06-21,1.05
BE,2024-06-21,460.02
,2024-06-21,0.84
CA,2024-06-21,186.3
KY,2024-06-21,1.26
HR,2024-06-21,12.5
CZ,2024-06-21,169.8
DK,2024-06-21,124.93
EE,2024-06-21,0.84
FI,2024-06-21,211.41
FR,2024-06-21,804.56
DE,2024-06-21,1455.81
GR,2024-06-21,211.83
HK,2024-06-21,25.43
IS,2024-06-21,2.63
IE,2024-06-21,102.03
IT,2024-06-21,593.67
JP,2024-06-21,29.21
KR,2024-06-21,31.1
LV,2024-06-21,1.68
LT,2024-06-21,7.46
LU,2024-06-21,20.8
MV,2024-06-21,1.68
NL,2024-06-21,707.58
NZ,2024-06-21,5.04
NO,2024-06-21,41.29
PL,2024-06-21,3.26
PT,2024-06-21,106.86
LC,2024-06-21,0.11
,2024-06-21,0.53
SG,2024-06-21,15.03
ES,2024-06-21,526.01
SE,2024-06-21,1169.69
CH,2024-06-21,115.06
TW,2024-06-21,13.24
,2024-06-21,0.53
AE,2024-06-21,73.13
GB,2024-06-21,4766.41
US,2024-06-21,23876.19
AG,2024-06-22,0.21
AW,2024-06-22,0.63
AU,2024-06-22,278.55
AT,2024-06-22,349.69
BS,2024-06-22,1.37
BB,2024-06-22,1.89
BE,2024-06-22,519.91
,2024-06-22,0.32
CA,2024-06-22,214.67
KY,2024-06-22,1.47
HR,2024-06-22,13.24
CZ,2024-06-22,164.76
DK,2024-06-22,173.06
EE,2024-06-22,2.42
FI,2024-06-22,278.24
FR,2024-06-22,808.97
DE,2024-06-22,1645.89
GR,2024-06-22,243.25
HK,2024-06-22,54.85
IS,2024-06-22,6.51
IE,2024-06-22,97.93
IT,2024-06-22,643.69
JP,2024-06-22,58.74
KR,2024-06-22,60.21
LV,2024-06-22,11.77
LT,2024-06-22,13.97
LU,2024-06-22,17.23
MV,2024-06-22,1.89
NL,2024-06-22,728.8
NZ,2024-06-22,9.04
NO,2024-06-22,77.34
PL,2024-06-22,10.19
PT,2024-06-22,112.12
LC,2024-06-22,0.21
,2024-06-22,0.84
SG,2024-06-22,31.21
ES,2024-06-22,618.37
SE,2024-06-22,2705.16
CH,2024-06-22,131.45
TW,2024-06-22,37.3
,2024-06-22,0.42
AE,2024-06-22,117.05
GB,2024-06-22,4904.38
US,2024-06-22,23959.1
AG,2024-06-23,0.32
AW,2024-06-23,0.53
AU,2024-06-23,275.93
AT,2024-06-23,385.92
BS,2024-06-23,2.0
BB,2024-06-23,0.84
