Market,Date,Total Spend,Ad Spend,FB Spend
FR,2024-02-25,1869.48,560.84,1308.63
DE,2024-02-25,2987.82,896.35,2091.47
GR,2024-02-25,133.21,39.96,93.25
GG,2024-02-25,5.37,1.61,3.76
HK,2024-02-25,267.97,80.39,187.58
HU,2024-02-25,101.71,30.51,71.2
IS,2024-02-25,45.75,13.72,32.02
IE,2024-02-25,154.17,46.25,107.92
IM,2024-02-25,1.45,0.43,1.01
IT,2024-02-25,314.85,94.45,220.39
JP,2024-02-25,208.9,62.67,146.23
JE,2024-02-25,14.87,4.46,10.41
KR,2024-02-25,268.17,80.45,187.72
RS,2024-02-25,1.34,0.4,0.94
KW,2024-02-25,82.71,24.81,57.9
LV,2024-02-25,57.41,17.22,40.19
LI,2024-02-25,0.93,0.28,0.65
LT,2024-02-25,121.33,36.4,84.93
LU,2024-02-25,31.7,9.51,22.19
MO,2024-02-25,3.41,1.02,2.39
MK,2024-02-25,2.68,0.81,1.88
MV,2024-02-25,2.99,0.9,2.1
MT,2024-02-25,18.28,5.48,12.79
MD,2024-02-25,4.65,1.39,3.25
MC,2024-02-25,7.02,2.11,4.92
ME,2024-02-25,2.58,0.77,1.81
NL,2024-02-25,744.32,223.3,521.02
NZ,2024-02-25,132.9,39.87,93.03
NO,2024-02-25,363.38,109.01,254.37
OM,2024-02-25,10.12,3.04,7.08
PL,2024-02-25,313.09,93.93,219.17
PT,2024-02-25,143.95,43.18,100.76
QA,2024-02-25,61.85,18.56,43.3
RO,2024-02-25,95.52,28.66,66.86
SM,2024-02-25,0.41,0.12,0.29
RS,2024-02-25,14.25,4.28,9.98
SG,2024-02-25,353.88,106.16,247.72
SK,2024-02-25,64.64,19.39,45.25
SI,2024-02-25,52.15,15.64,36.5
ES,2024-02-25,519.72,155.92,363.81
SJ,2024-02-25,0.41,0.12,0.29
SE,2024-02-25,4503.72,1351.12,3152.6
CH,2024-02-25,528.91,158.67,370.24
TW,2024-02-25,290.27,87.08,203.19
TR,2024-02-25,128.15,38.44,89.7
AE,2024-02-25,177.61,53.28,124.33
GB,2024-02-25,4577.76,1373.33,3204.43
US,2024-02-25,12632.81,3789.84,8842.96
DE,2024-02-22,107.95,32.39,75.57
GB,2024-02-22,159.14,47.74,111.4
US,2024-02-22,11.35,3.41,7.95
DE,2024-02-23,77.71,23.31,54.4
GB,2024-02-23,261.23,78.37,182.86
US,2024-02-23,77.3,23.19,54.11
DE,2024-02-24,0.0,0.0,0.0
GB,2024-02-24,0.0,0.0,0.0
DE,2024-02-25,216.85,65.06,151.8
GB,2024-02-25,460.86,138.26,322.6
US,2024-02-25,0.31,0.09,0.22
AT,2024-02-26,0.0,0.0,0.0
CA,2024-02-26,122.22,36.67,85.55
DK,2024-02-26,24.16,7.25,16.91
FI,2024-02-26,3.6,1.08,2.52
FR,2024-02-26,101.76,30.53,71.23
DE,2024-02-26,72.57,21.77,50.8
GR,2024-02-26,5.14,1.54,3.6
IE,2024-02-26,0.21,0.06,0.14
IT,2024-02-26,2.67,0.8,1.87
NL,2024-02-26,18.4,5.52,12.88
SG,2024-02-26,2.36,0.71,1.65
ES,2024-02-26,10.07,3.02,7.05
SE,2024-02-26,514.06,154.22,359.84
AE,2024-02-26,2.67,0.8,1.87
GB,2024-02-26,446.73,134.02,312.71
US,2024-02-26,847.0,254.1,592.9
AU,2024-02-27,126.59,37.98,88.61
AT,2024-02-27,0.0,0.0,0.0
CA,2024-02-27,124.83,37.45,87.38
DK,2024-02-27,51.03,15.31,35.72
FI,2024-02-27,12.06,3.62,8.44
FR,2024-02-27,174.31,52.29,122.02
DE,2024-02-27,378.83,113.65,265.18
GR,2024-02-27,6.6,1.98,4.62
HK,2024-02-27,0.1,0.03,0.07
IE,2024-02-27,10.1,3.03,7.07
IT,2024-02-27,0.21,0.06,0.14
NL,2024-02-27,32.99,9.9,23.09
SG,2024-02-27,0.1,0.03,0.07
ES,2024-02-27,5.88,1.76,4.11
SE,2024-02-27,475.11,142.53,332.58
AE,2024-02-27,0.0,0.0,0.0
GB,2024-02-27,629.63,188.89,440.74
US,2024-02-27,688.8,206.64,482.16
AU,2024-02-28,53.75,16.12,37.62
AT,2024-02-28,11.37,3.41,7.96
CA,2024-02-28,302.11,90.63,211.48
DK,2024-02-28,14.06,4.22,9.84
FI,2024-02-28,55.71,16.71,39.0
FR,2024-02-28,94.05,28.22,65.84
DE,2024-02-28,161.13,48.34,112.79
GR,2024-02-28,2.48,0.74,1.74
HK,2024-02-28,27.8,8.34,19.46
IE,2024-02-28,22.95,6.88,16.06
IT,2024-02-28,5.89,1.77,4.12
NL,2024-02-28,59.12,17.74,41.38
SG,2024-02-28,14.26,4.28,9.98
ES,2024-02-28,39.79,11.94,27.85
SE,2024-02-28,2143.52,643.06,1500.46
AE,2024-02-28,20.98,6.29,14.69
GB,2024-02-28,382.83,114.85,267.98
US,2024-02-28,983.34,295.0,688.34
AU,2024-02-29,98.14,29.44,68.7
AT,2024-02-29,4.98,1.49,3.49
CA,2024-02-29,59.86,17.96,41.9
DK,2024-02-29,30.71,9.21,21.49
FI,2024-02-29,28.32,8.5,19.82
FR,2024-02-29,163.49,49.05,114.45
DE,2024-02-29,287.88,86.36,201.51
GR,2024-02-29,2.7,0.81,1.89
HK,2024-02-29,15.04,4.51,10.53
IE,2024-02-29,15.87,4.76,11.11
IT,2024-02-29,46.27,13.88,32.39
NL,2024-02-29,36.52,10.95,25.56
SG,2024-02-29,36.41,10.92,25.49
ES,2024-02-29,122.0,36.6,85.4
SE,2024-02-29,1371.54,411.46,960.08
AE,2024-02-29,97.0,29.1,67.9
GB,2024-02-29,326.47,97.94,228.53
US,2024-02-29,800.87,240.26,560.61
AU,2024-03-01,96.97,29.09,67.88
AT,2024-03-01,1.86,0.56,1.31
CA,2024-03-01,67.96,20.39,47.57
DK,2024-03-01,19.48,5.84,13.63
FI,2024-03-01,0.0,0.0,0.0
FR,2024-03-01,213.2,63.96,149.24
DE,2024-03-01,112.09,33.63,78.46
GR,2024-03-01,7.36,2.21,5.15
HK,2024-03-01,8.18,2.46,5.73
IE,2024-03-01,1.14,0.34,0.8
IT,2024-03-01,20.62,6.18,14.43
NL,2024-03-01,62.99,18.9,44.09
SG,2024-03-01,44.34,13.3,31.04
ES,2024-03-01,11.5,3.45,8.05
SE,2024-03-01,548.13,164.44,383.69
AE,2024-03-01,10.67,3.2,7.47
GB,2024-03-01,325.3,97.59,227.71
US,2024-03-01,662.82,198.84,463.97
AU,2024-03-02,43.93,13.18,30.75
AT,2024-03-02,5.39,1.62,3.77
CA,2024-03-02,49.52,14.86,34.66
DK,2024-03-02,49.42,14.82,34.59
FI,2024-03-02,3.73,1.12,2.61
FR,2024-03-02,52.42,15.73,36.69
DE,2024-03-02,104.53,31.36,73.17
GR,2024-03-02,5.28,1.59,3.7
HK,2024-03-02,0.73,0.22,0.51
IE,2024-03-02,1.04,0.31,0.73
IT,2024-03-02,45.79,13.74,32.05
NL,2024-03-02,31.49,9.45,22.05
SG,2024-03-02,4.04,1.21,2.83
ES,2024-03-02,109.3,32.79,76.51
SE,2024-03-02,623.76,187.13,436.63
AE,2024-03-02,0.0,0.0,0.0
GB,2024-03-02,340.94,102.28,238.66
US,2024-03-02,894.77,268.43,626.34
AU,2024-03-03,52.6,15.78,36.82
AT,2024-03-03,10.31,3.09,7.22
CA,2024-03-03,181.84,54.55,127.29
DK,2024-03-03,27.54,8.26,19.28
FI,2024-03-03,39.5,11.85,27.65
FR,2024-03-03,89.32,26.8,62.53
DE,2024-03-03,179.26,53.78,125.49
GR,2024-03-03,4.23,1.27,2.96
HK,2024-03-03,5.98,1.79,4.19
IE,2024-03-03,48.27,14.48,33.79
IT,2024-03-03,26.2,7.86,18.34
NL,2024-03-03,13.62,4.08,9.53
SG,2024-03-03,62.3,18.69,43.61
ES,2024-03-03,0.83,0.25,0.58
SE,2024-03-03,719.95,215.98,503.96
AE,2024-03-03,69.11,20.73,48.37
GB,2024-03-03,370.29,111.09,259.2
US,2024-03-03,689.52,206.86,482.66
AL,2024-02-26,3.49,1.05,2.45
AD,2024-02-26,1.44,0.43,1.01
AU,2024-02-26,1196.29,358.89,837.4
AT,2024-02-26,161.69,48.51,113.18
BH,2024-02-26,8.94,2.68,6.26
BE,2024-02-26,335.82,100.75,235.07
BA,2024-02-26,1.54,0.46,1.08
CA,2024-02-26,451.67,135.5,316.17
HR,2024-02-26,27.14,8.14,19.0
CY,2024-02-26,36.49,10.95,25.54
CZ,2024-02-26,121.29,36.39,84.91
DK,2024-02-26,239.61,71.88,167.73
EE,2024-02-26,34.02,10.21,23.82
FO,2024-02-26,0.21,0.06,0.14
FI,2024-02-26,148.02,44.41,103.61
FR,2024-02-26,1192.59,357.78,834.81
DE,2024-02-26,1928.99,578.7,1350.29
GR,2024-02-26,98.78,29.63,69.15
GG,2024-02-26,4.21,1.26,2.95
HK,2024-02-26,183.89,55.17,128.73
HU,2024-02-26,63.01,18.9,44.11
IS,2024-02-26,35.26,10.58,24.68
IE,2024-02-26,115.13,34.54,80.59
IM,2024-02-26,0.82,0.25,0.58
IT,2024-02-26,262.53,78.76,183.77
JP,2024-02-26,149.25,44.78,104.48
JE,2024-02-26,5.35,1.6,3.74
KR,2024-02-26,191.19,57.36,133.83
RS,2024-02-26,0.82,0.25,0.58
KW,2024-02-26,65.89,19.77,46.12
LV,2024-02-26,33.3,9.99,23.31
LI,2024-02-26,1.13,0.34,0.79
LT,2024-02-26,72.78,21.83,50.94
LU,2024-02-26,21.48,6.45,15.04
MO,2024-02-26,1.23,0.37,0.86
MK,2024-02-26,1.54,0.46,1.08
MV,2024-02-26,2.57,0.77,1.8
MT,2024-02-26,14.9,4.47,10.43
MD,2024-02-26,1.85,0.56,1.3
MC,2024-02-26,4.11,1.23,2.88
ME,2024-02-26,4.63,1.39,3.24
NL,2024-02-26,524.96,157.49,367.47
NZ,2024-02-26,97.96,29.39,68.57
NO,2024-02-26,230.15,69.05,161.11
OM,2024-02-26,5.24,1.57,3.67
PL,2024-02-26,175.05,52.52,122.54
PT,2024-02-26,110.19,33.06,77.13
QA,2024-02-26,38.55,11.56,26.98
RO,2024-02-26,56.84,17.05,39.79
SM,2024-02-26,0.1,0.03,0.07
RS,2024-02-26,10.38,3.11,7.27
SG,2024-02-26,197.87,59.36,138.51
SK,2024-02-26,50.27,15.08,35.19
SI,2024-02-26,49.34,14.8,34.54
ES,2024-02-26,384.85,115.46,269.4
SJ,2024-02-26,0.21,0.06,0.14
SE,2024-02-26,2698.28,809.49,1888.8
CH,2024-02-26,384.34,115.3,269.04
TW,2024-02-26,144.94,43.48,101.46
TR,2024-02-26,94.47,28.34,66.13
AE,2024-02-26,136.71,41.01,95.7
GB,2024-02-26,3256.86,977.06,2279.8
US,2024-02-26,11634.08,3490.22,8143.86
AL,2024-02-27,7.11,2.13,4.98
AD,2024-02-27,1.03,0.31,0.72
AG,2024-02-27,0.0,0.0,0.0
AU,2024-02-27,830.64,249.19,581.45
AT,2024-02-27,137.82,41.35,96.48
BH,2024-02-27,8.35,2.5,5.84
BB,2024-02-27,0.0,0.0,0.0
BE,2024-02-27,256.26,76.88,179.39
BA,2024-02-27,1.34,0.4,0.94
BG,2024-02-27,1.34,0.4,0.94
CA,2024-02-27,310.28,93.08,217.2
KY,2024-02-27,0.21,0.06,0.14
HR,2024-02-27,31.54,9.46,22.08
CW,2024-02-27,0.0,0.0,0.0
CY,2024-02-27,25.46,7.64,17.82
CZ,2024-02-27,97.62,29.29,68.33
DK,2024-02-27,195.65,58.7,136.96
DO,2024-02-27,0.1,0.03,0.07
EE,2024-02-27,23.81,7.14,16.67
FO,2024-02-27,0.41,0.12,0.29
FI,2024-02-27,132.67,39.8,92.87
FR,2024-02-27,800.54,240.16,560.38
DE,2024-02-27,1469.96,440.99,1028.97
GR,2024-02-27,65.05,19.51,45.53
GG,2024-02-27,1.86,0.56,1.3
HT,2024-02-27,0.0,0.0,0.0
HK,2024-02-27,131.84,39.55,92.29
HU,2024-02-27,44.12,13.24,30.88
IS,2024-02-27,32.26,9.68,22.59
IE,2024-02-27,100.51,30.15,70.35
IM,2024-02-27,2.06,0.62,1.44
IT,2024-02-27,175.55,52.67,122.89
JP,2024-02-27,108.86,32.66,76.2
JE,2024-02-27,4.12,1.24,2.89
KR,2024-02-27,125.25,37.57,87.67
RS,2024-02-27,0.72,0.22,0.51
KW,2024-02-27,63.71,19.11,44.59
LV,2024-02-27,27.83,8.35,19.48
LI,2024-02-27,0.1,0.03,0.07
LT,2024-02-27,64.12,19.24,44.88
LU,2024-02-27,14.84,4.45,10.39
MO,2024-02-27,2.06,0.62,1.44
MK,2024-02-27,2.16,0.65,1.52
MV,2024-02-27,1.24,0.37,0.87
MT,2024-02-27,6.18,1.86,4.33
MD,2024-02-27,2.78,0.83,1.95
MC,2024-02-27,3.71,1.11,2.6
ME,2024-02-27,3.3,0.99,2.31
NL,2024-02-27,356.77,107.03,249.74
NZ,2024-02-27,64.84,19.45,45.39
NO,2024-02-27,196.79,59.04,137.75
OM,2024-02-27,2.68,0.8,1.88
PL,2024-02-27,172.46,51.74,120.72
PT,2024-02-27,70.61,21.18,49.43
PR,2024-02-27,0.41,0.12,0.29
QA,2024-02-27,29.69,8.91,20.78
RO,2024-02-27,43.09,12.93,30.16
KN,2024-02-27,0.0,0.0,0.0
LC,2024-02-27,0.0,0.0,0.0
,2024-02-27,0.1,0.03,0.07
,2024-02-27,0.1,0.03,0.07
SM,2024-02-27,0.21,0.06,0.14
SA,2024-02-27,0.82,0.25,0.58
RS,2024-02-27,8.76,2.63,6.13
SG,2024-02-27,154.32,46.29,108.02
SK,2024-02-27,33.09,9.93,23.16
SI,2024-02-27,29.58,8.88,20.71
ZA,2024-02-27,0.1,0.03,0.07
ES,2024-02-27,303.89,91.17,212.72
SJ,2024-02-27,0.1,0.03,0.07
SE,2024-02-27,2489.35,746.81,1742.55
CH,2024-02-27,315.54,94.66,220.88
TW,2024-02-27,146.38,43.91,102.46
TT,2024-02-27,0.0,0.0,0.0
TR,2024-02-27,70.41,21.12,49.28
AE,2024-02-27,141.12,42.34,98.78
GB,2024-02-27,2193.3,657.99,1535.31
US,2024-02-27,10044.41,3013.32,7031.09
AL,2024-02-28,5.48,1.64,3.83
AD,2024-02-28,1.76,0.53,1.23
AG,2024-02-28,0.1,0.03,0.07
AW,2024-02-28,0.62,0.19,0.43
AU,2024-02-28,501.28,150.38,350.9
AT,2024-02-28,164.34,49.3,115.04
AZ,2024-02-28,3.62,1.09,2.53
BS,2024-02-28,2.07,0.62,1.45
BH,2024-02-28,7.03,2.11,4.92
BB,2024-02-28,3.0,0.9,2.1
BE,2024-02-28,265.42,79.63,185.79
BA,2024-02-28,5.48,1.64,3.83
,2024-02-28,0.52,0.16,0.36
BG,2024-02-28,41.45,12.43,29.01
CA,2024-02-28,340.87,102.26,238.61
KY,2024-02-28,7.96,2.39,5.57
HR,2024-02-28,55.61,16.68,38.92
CW,2024-02-28,1.34,0.4,0.94
CY,2024-02-28,33.38,10.02,23.37
CZ,2024-02-28,120.2,36.06,84.14
DK,2024-02-28,259.84,77.95,181.89
DM,2024-02-28,0.31,0.09,0.22
DO,2024-02-28,29.56,8.87,20.69
EE,2024-02-28,35.45,10.64,24.82
FO,2024-02-28,0.83,0.25,0.58
FI,2024-02-28,151.73,45.52,106.21
FR,2024-02-28,397.41,119.22,278.19
DE,2024-02-28,557.4,167.22,390.18
GI,2024-02-28,1.86,0.56,1.3
GR,2024-02-28,139.95,41.98,97.96
GD,2024-02-28,0.72,0.22,0.51
GP,2024-02-28,1.45,0.43,1.01
GG,2024-02-28,3.0,0.9,2.1
HT,2024-02-28,3.51,1.05,2.46
HK,2024-02-28,167.23,50.17,117.06
HU,2024-02-28,64.18,19.26,44.93
IS,2024-02-28,40.1,12.03,28.07
IE,2024-02-28,108.94,32.68,76.26
IM,2024-02-28,1.55,0.47,1.09
IT,2024-02-28,264.49,79.35,185.14
JM,2024-02-28,1.24,0.37,0.87
JP,2024-02-28,132.92,39.88,93.04
JE,2024-02-28,8.37,2.51,5.86
KR,2024-02-28,150.38,45.12,105.27
RS,2024-02-28,3.41,1.02,2.39
KW,2024-02-28,48.27,14.48,33.79
LV,2024-02-28,46.2,13.86,32.34
LI,2024-02-28,1.24,0.37,0.87
LT,2024-02-28,98.91,29.67,69.24
LU,2024-02-28,24.6,7.38,17.22
MO,2024-02-28,1.45,0.43,1.01
MK,2024-02-28,5.68,1.71,3.98
MT,2024-02-28,10.65,3.19,7.45
MQ,2024-02-28,0.62,0.19,0.43
MD,2024-02-28,5.06,1.52,3.55
MC,2024-02-28,13.64,4.09,9.55
ME,2024-02-28,4.34,1.3,3.04
MS,2024-02-28,0.0,0.0,0.0
NL,2024-02-28,418.18,125.45,292.73
NZ,2024-02-28,69.56,20.87,48.69
NO,2024-02-28,238.24,71.47,166.77
OM,2024-02-28,4.24,1.27,2.97
PL,2024-02-28,259.63,77.89,181.74
PT,2024-02-28,105.53,31.66,73.87
PR,2024-02-28,20.67,6.2,14.47
QA,2024-02-28,22.74,6.82,15.92
RO,2024-02-28,69.56,20.87,48.69
KN,2024-02-28,0.0,0.0,0.0
LC,2024-02-28,0.21,0.06,0.14
,2024-02-28,0.52,0.16,0.36
,2024-02-28,0.72,0.22,0.51
SM,2024-02-28,0.0,0.0,0.0
SA,2024-02-28,60.88,18.26,42.61
RS,2024-02-28,24.29,7.29,17.0
SC,2024-02-28,0.41,0.12,0.29
SG,2024-02-28,147.28,44.19,103.1
,2024-02-28,0.41,0.12,0.29
SK,2024-02-28,67.08,20.12,46.96
SI,2024-02-28,38.76,11.63,27.13
ZA,2024-02-28,50.54,15.16,35.38
ES,2024-02-28,302.84,90.85,211.99
SJ,2024-02-28,0.41,0.12,0.29
SE,2024-02-28,3310.63,993.19,2317.44
CH,2024-02-28,379.63,113.89,265.74
TW,2024-02-28,94.99,28.5,66.49
TT,2024-02-28,2.89,0.87,2.03
TR,2024-02-28,86.82,26.05,60.77
,2024-02-28,1.45,0.43,1.01
GB,2024-02-28,921.74,276.52,645.22
US,2024-02-28,2658.96,797.69,1861.27
,2024-02-28,0.93,0.28,0.65
AL,2024-02-29,5.71,1.71,3.99
AD,2024-02-29,1.24,0.37,0.87
AG,2024-02-29,0.31,0.09,0.22
AW,2024-02-29,0.73,0.22,0.51
AU,2024-02-29,623.89,187.17,436.72
AT,2024-02-29,126.98,38.09,88.88
AZ,2024-02-29,3.32,1.0,2.32
BS,2024-02-29,3.94,1.18,2.76
BH,2024-02-29,13.59,4.08,9.51
BB,2024-02-29,6.33,1.9,4.43
BE,2024-02-29,214.01,64.2,149.81
BA,2024-02-29,4.36,1.31,3.05
,2024-02-29,0.21,0.06,0.15
BG,2024-02-29,23.45,7.03,16.41
CA,2024-02-29,270.24,81.07,189.17
KY,2024-02-29,11.72,3.52,8.21
HR,2024-02-29,46.16,13.85,32.31
CW,2024-02-29,1.35,0.4,0.94
CY,2024-02-29,33.3,9.99,23.31
CZ,2024-02-29,85.69,25.71,59.98
DK,2024-02-29,207.38,62.21,145.16
DM,2024-02-29,0.21,0.06,0.15
DO,2024-02-29,39.52,11.86,27.67
EE,2024-02-29,25.42,7.62,17.79
FO,2024-02-29,0.83,0.25,0.58
FI,2024-02-29,112.25,33.67,78.57
FR,2024-02-29,436.74,131.02,305.72
DE,2024-02-29,543.91,163.17,380.73
GI,2024-02-29,0.62,0.19,0.44
GR,2024-02-29,115.98,34.79,81.19
GD,2024-02-29,0.41,0.12,0.29
GP,2024-02-29,2.49,0.75,1.74
GG,2024-02-29,3.01,0.9,2.11
HT,2024-02-29,17.64,5.29,12.35
HK,2024-02-29,137.25,41.17,96.07
HU,2024-02-29,36.72,11.02,25.71
IS,2024-02-29,31.12,9.34,21.79
IE,2024-02-29,93.68,28.1,65.57
IM,2024-02-29,0.83,0.25,0.58
IT,2024-02-29,235.28,70.58,164.7
JM,2024-02-29,3.01,0.9,2.11
JP,2024-02-29,95.65,28.69,66.95
JE,2024-02-29,6.54,1.96,4.57
KR,2024-02-29,19.5,5.85,13.65
RS,2024-02-29,2.07,0.62,1.45
KW,2024-02-29,44.92,13.48,31.44
LV,2024-02-29,36.83,11.05,25.78
LI,2024-02-29,0.73,0.22,0.51
LT,2024-02-29,63.38,19.02,44.37
LU,2024-02-29,16.29,4.89,11.4
MO,2024-02-29,3.53,1.06,2.47
MK,2024-02-29,5.29,1.59,3.7
MT,2024-02-29,8.3,2.49,5.81
MQ,2024-02-29,1.45,0.44,1.02
MD,2024-02-29,2.59,0.78,1.82
MC,2024-02-29,4.25,1.28,2.98
ME,2024-02-29,2.59,0.78,1.82
MS,2024-02-29,0.0,0.0,0.0
NL,2024-02-29,367.86,110.36,257.5
NZ,2024-02-29,49.59,14.88,34.71
NO,2024-02-29,189.12,56.74,132.38
OM,2024-02-29,6.22,1.87,4.36
PL,2024-02-29,191.09,57.33,133.76
PT,2024-02-29,90.88,27.26,63.61
PR,2024-02-29,22.82,6.85,15.98
QA,2024-02-29,28.01,8.4,19.61
RO,2024-02-29,51.97,15.59,36.38
KN,2024-02-29,0.21,0.06,0.15
LC,2024-02-29,0.31,0.09,0.22
,2024-02-29,0.62,0.19,0.44
,2024-02-29,1.14,0.34,0.8
SM,2024-02-29,0.41,0.12,0.29
SA,2024-02-29,40.98,12.29,28.68
RS,2024-02-29,17.32,5.2,12.13
SC,2024-02-29,0.93,0.28,0.65
SG,2024-02-29,137.87,41.36,96.51
,2024-02-29,0.31,0.09,0.22
SK,2024-02-29,42.95,12.88,30.06
SI,2024-02-29,34.86,10.46,24.4
ZA,2024-02-29,59.24,17.77,41.46
ES,2024-02-29,314.43,94.33,220.1
SJ,2024-02-29,0.21,0.06,0.15
SE,2024-02-29,2610.5,783.15,1827.35
CH,2024-02-29,287.67,86.3,201.37
TW,2024-02-29,106.02,31.81,74.22
TT,2024-02-29,4.25,1.28,2.98
TR,2024-02-29,105.71,31.71,74.0
,2024-02-29,1.56,0.47,1.09
GB,2024-02-29,913.94,274.18,639.76
US,2024-02-29,2791.21,837.36,1953.85
,2024-02-29,0.73,0.22,0.51
,2024-02-29,0.1,0.03,0.07
AL,2024-03-01,7.15,2.14,5.0
AD,2024-03-01,1.14,0.34,0.8
AG,2024-03-01,0.83,0.25,0.58
AR,2024-03-01,0.0,0.0,0.0
AW,2024-03-01,1.24,0.37,0.87
AU,2024-03-01,2375.28,712.58,1662.7
AT,2024-03-01,159.95,47.99,111.97
AZ,2024-03-01,6.22,1.86,4.35
BS,2024-03-01,7.25,2.18,5.08
BH,2024-03-01,8.29,2.49,5.8
BB,2024-03-01,2.9,0.87,2.03
BY,2024-03-01,0.1,0.03,0.07
BE,2024-03-01,216.52,64.96,151.56
BA,2024-03-01,4.04,1.21,2.83
BR,2024-03-01,0.0,0.0,0.0
,2024-03-01,0.41,0.12,0.29
BG,2024-03-01,28.9,8.67,20.23
CA,2024-03-01,276.4,82.92,193.48
KY,2024-03-01,4.04,1.21,2.83
HR,2024-03-01,46.2,13.86,32.34
CW,2024-03-01,1.86,0.56,1.31
CY,2024-03-01,30.66,9.2,21.47
CZ,2024-03-01,92.93,27.88,65.05
DK,2024-03-01,201.39,60.42,140.98
DM,2024-03-01,0.93,0.28,0.65
DO,2024-03-01,66.61,19.98,46.63
EE,2024-03-01,22.79,6.84,15.95
FO,2024-03-01,1.04,0.31,0.73
FI,2024-03-01,121.52,36.46,85.06
FR,2024-03-01,536.32,160.9,375.43
GE,2024-03-01,0.1,0.03,0.07
DE,2024-03-01,822.67,246.8,575.87
GI,2024-03-01,0.52,0.16,0.36
GR,2024-03-01,128.25,38.48,89.78
GD,2024-03-01,1.24,0.37,0.87
GP,2024-03-01,1.14,0.34,0.8
GG,2024-03-01,1.66,0.5,1.16
HT,2024-03-01,91.89,27.57,64.32
HK,2024-03-01,111.26,33.38,77.88
HU,2024-03-01,56.77,17.03,39.74
IS,2024-03-01,27.97,8.39,19.58
IE,2024-03-01,114.48,34.34,80.13
IM,2024-03-01,1.14,0.34,0.8
IL,2024-03-01,0.0,0.0,0.0
IT,2024-03-01,264.17,79.25,184.92
JM,2024-03-01,4.25,1.27,2.97
JP,2024-03-01,103.7,31.11,72.59
JE,2024-03-01,7.67,2.3,5.37
KR,2024-03-01,44.65,13.4,31.26
RS,2024-03-01,3.52,1.06,2.47
KW,2024-03-01,47.34,14.2,33.14
LV,2024-03-01,32.63,9.79,22.84
LI,2024-03-01,0.21,0.06,0.15
LT,2024-03-01,63.82,19.14,44.67
LU,2024-03-01,19.48,5.84,13.63
MO,2024-03-01,6.63,1.99,4.64
MK,2024-03-01,5.49,1.65,3.84
MV,2024-03-01,0.1,0.03,0.07
MT,2024-03-01,8.49,2.55,5.95
MQ,2024-03-01,1.55,0.47,1.09
MX,2024-03-01,0.1,0.03,0.07
MD,2024-03-01,4.45,1.34,3.12
MC,2024-03-01,2.59,0.78,1.81
ME,2024-03-01,3.32,0.99,2.32
MS,2024-03-01,0.0,0.0,0.0
NL,2024-03-01,404.76,121.43,283.33
NZ,2024-03-01,47.55,14.27,33.29
NO,2024-03-01,211.55,63.46,148.08
OM,2024-03-01,6.11,1.83,4.28
PL,2024-03-01,205.02,61.51,143.51
PT,2024-03-01,94.27,28.28,65.99
PR,2024-03-01,26.73,8.02,18.71
QA,2024-03-01,28.8,8.64,20.16
RO,2024-03-01,69.31,20.79,48.51
KN,2024-03-01,0.1,0.03,0.07
LC,2024-03-01,0.93,0.28,0.65
,2024-03-01,1.14,0.34,0.8
,2024-03-01,0.0,0.0,0.0
,2024-03-01,0.73,0.22,0.51
SM,2024-03-01,0.21,0.06,0.15
SA,2024-03-01,59.57,17.87,41.7
RS,2024-03-01,18.75,5.63,13.13
SC,2024-03-01,1.35,0.4,0.94
SG,2024-03-01,110.75,33.22,77.52
,2024-03-01,0.83,0.25,0.58
SK,2024-03-01,48.28,14.48,33.79
SI,2024-03-01,42.79,12.84,29.95
ZA,2024-03-01,65.37,19.61,45.76
ES,2024-03-01,439.98,131.99,307.98
SJ,2024-03-01,0.31,0.09,0.22
SE,2024-03-01,2810.39,843.12,1967.27
CH,2024-03-01,338.25,101.47,236.77
TW,2024-03-01,98.94,29.68,69.25
TT,2024-03-01,18.65,5.59,13.05
TR,2024-03-01,134.26,40.28,93.98
,2024-03-01,6.94,2.08,4.86
AE,2024-03-01,12.02,3.61,8.41
GB,2024-03-01,1322.21,396.66,925.55
US,2024-03-01,4782.99,1434.9,3348.09
,2024-03-01,1.66,0.5,1.16
AL,2024-03-02,10.36,3.11,7.25
DZ,2024-03-02,0.1,0.03,0.07
AD,2024-03-02,4.77,1.43,3.34
AG,2024-03-02,1.04,0.31,0.73
AR,2024-03-02,2.28,0.68,1.6
AM,2024-03-02,0.31,0.09,0.22
AW,2024-03-02,0.52,0.16,0.36
AU,2024-03-02,837.58,251.28,586.31
AT,2024-03-02,345.81,103.74,242.07
AZ,2024-03-02,5.08,1.52,3.55
BS,2024-03-02,6.84,2.05,4.79
BH,2024-03-02,10.26,3.08,7.18
BD,2024-03-02,0.0,0.0,0.0
BB,2024-03-02,2.49,0.75,1.74
BY,2024-03-02,6.32,1.9,4.42
BE,2024-03-02,363.32,108.99,254.32
BZ,2024-03-02,0.1,0.03,0.07
BM,2024-03-02,0.0,0.0,0.0
,2024-03-02,0.21,0.06,0.15
BA,2024-03-02,6.63,1.99,4.64
BR,2024-03-02,15.13,4.54,10.59
,2024-03-02,0.83,0.25,0.58
BN,2024-03-02,0.1,0.03,0.07
BG,2024-03-02,44.44,13.33,31.11
BF,2024-03-02,0.1,0.03,0.07
CA,2024-03-02,583.05,174.91,408.13
KY,2024-03-02,7.87,2.36,5.51
